2024-05-22 20:00:21,639 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.crt' and 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.key' are in the correct directory.
2024-05-22 20:02:29,982 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.csr' and '/home/akhilesh/Desktop/DS+Comp_sec/cs/server.key' are in the correct directory.
2024-05-22 20:27:35,692 - Server started. Listening on 127.0.0.1:8443
2024-05-22 20:27:35,692 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:27:35,692 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:27:49,834 - Connected by ('127.0.0.1', 39722)
2024-05-22 20:27:49,840 - Connected by ('127.0.0.1', 39734)
2024-05-22 20:27:49,856 - Connected by ('127.0.0.1', 39756)
2024-05-22 20:27:49,850 - Connected by ('127.0.0.1', 39742)
2024-05-22 20:27:49,869 - Connected by ('127.0.0.1', 39760)
2024-05-22 20:27:49,882 - Connected by ('127.0.0.1', 39766)
2024-05-22 20:27:49,895 - Connected by ('127.0.0.1', 39776)
2024-05-22 20:27:49,908 - Connected by ('127.0.0.1', 39778)
2024-05-22 20:27:49,911 - Connected by ('127.0.0.1', 39788)
2024-05-22 20:27:49,915 - Connected by ('127.0.0.1', 39790)
2024-05-22 20:27:49,931 - Connected by ('127.0.0.1', 39792)
2024-05-22 20:27:49,954 - Connected by ('127.0.0.1', 39808)
2024-05-22 20:27:49,963 - Connected by ('127.0.0.1', 39812)
2024-05-22 20:27:49,970 - Connected by ('127.0.0.1', 39820)
2024-05-22 20:27:49,974 - Connected by ('127.0.0.1', 39824)
2024-05-22 20:27:49,987 - Connected by ('127.0.0.1', 39840)
2024-05-22 20:27:50,010 - Connected by ('127.0.0.1', 39844)
2024-05-22 20:27:50,018 - Connected by ('127.0.0.1', 39852)
2024-05-22 20:27:50,063 - Connected by ('127.0.0.1', 39862)
2024-05-22 20:27:50,102 - Connected by ('127.0.0.1', 39868)
2024-05-22 20:27:50,166 - Connected by ('127.0.0.1', 39882)
2024-05-22 20:27:50,189 - Connected by ('127.0.0.1', 39894)
2024-05-22 20:27:50,215 - Connected by ('127.0.0.1', 39900)
2024-05-22 20:27:50,234 - Connected by ('127.0.0.1', 39916)
2024-05-22 20:27:50,242 - Connected by ('127.0.0.1', 39930)
2024-05-22 20:27:50,253 - Connected by ('127.0.0.1', 39942)
2024-05-22 20:27:50,260 - Connected by ('127.0.0.1', 39948)
2024-05-22 20:27:50,267 - Connected by ('127.0.0.1', 39962)
2024-05-22 20:27:50,270 - Connected by ('127.0.0.1', 39968)
2024-05-22 20:27:50,273 - Connected by ('127.0.0.1', 39980)
2024-05-22 20:27:50,278 - Connected by ('127.0.0.1', 39984)
2024-05-22 20:27:50,282 - Connected by ('127.0.0.1', 39994)
2024-05-22 20:27:50,285 - Connected by ('127.0.0.1', 40006)
2024-05-22 20:27:50,290 - Connected by ('127.0.0.1', 40014)
2024-05-22 20:27:50,293 - Connected by ('127.0.0.1', 40024)
2024-05-22 20:27:50,296 - Connected by ('127.0.0.1', 40032)
2024-05-22 20:27:50,301 - Connected by ('127.0.0.1', 40036)
2024-05-22 20:27:50,304 - Connected by ('127.0.0.1', 40042)
2024-05-22 20:27:50,307 - Connected by ('127.0.0.1', 40046)
2024-05-22 20:27:50,312 - Connected by ('127.0.0.1', 40058)
2024-05-22 20:27:50,314 - Connected by ('127.0.0.1', 40070)
2024-05-22 20:27:50,317 - Connected by ('127.0.0.1', 40076)
2024-05-22 20:27:50,321 - Connected by ('127.0.0.1', 40078)
2024-05-22 20:27:50,325 - Connected by ('127.0.0.1', 40080)
2024-05-22 20:27:50,328 - Connected by ('127.0.0.1', 40094)
2024-05-22 20:27:50,343 - Connected by ('127.0.0.1', 40100)
2024-05-22 20:27:50,350 - Connected by ('127.0.0.1', 40114)
2024-05-22 20:27:50,352 - Connected by ('127.0.0.1', 40128)
2024-05-22 20:27:50,366 - Connected by ('127.0.0.1', 40132)
2024-05-22 20:27:50,373 - Connected by ('127.0.0.1', 40138)
2024-05-22 20:27:50,379 - Connected by ('127.0.0.1', 40140)
2024-05-22 20:27:50,382 - Connected by ('127.0.0.1', 40150)
2024-05-22 20:27:50,387 - Connected by ('127.0.0.1', 40156)
2024-05-22 20:27:50,393 - Connected by ('127.0.0.1', 40158)
2024-05-22 20:27:50,399 - Connected by ('127.0.0.1', 40174)
2024-05-22 20:27:50,411 - Connected by ('127.0.0.1', 40182)
2024-05-22 20:27:50,421 - Connected by ('127.0.0.1', 40192)
2024-05-22 20:27:50,425 - Connected by ('127.0.0.1', 40202)
2024-05-22 20:27:50,430 - Connected by ('127.0.0.1', 40204)
2024-05-22 20:27:50,474 - Connected by ('127.0.0.1', 40208)
2024-05-22 20:27:50,477 - Connected by ('127.0.0.1', 40212)
2024-05-22 20:27:50,480 - Connected by ('127.0.0.1', 40226)
2024-05-22 20:27:50,483 - Connected by ('127.0.0.1', 40236)
2024-05-22 20:27:50,485 - Connected by ('127.0.0.1', 40252)
2024-05-22 20:27:50,493 - Connected by ('127.0.0.1', 40264)
2024-05-22 20:27:50,504 - Connected by ('127.0.0.1', 40280)
2024-05-22 20:27:50,508 - Connected by ('127.0.0.1', 40282)
2024-05-22 20:27:50,511 - Connected by ('127.0.0.1', 40298)
2024-05-22 20:27:50,514 - Connected by ('127.0.0.1', 40302)
2024-05-22 20:27:50,516 - Connected by ('127.0.0.1', 40310)
2024-05-22 20:27:50,521 - Connected by ('127.0.0.1', 40312)
2024-05-22 20:27:50,525 - Connected by ('127.0.0.1', 40314)
2024-05-22 20:27:50,529 - Connected by ('127.0.0.1', 40328)
2024-05-22 20:27:50,531 - Connected by ('127.0.0.1', 40342)
2024-05-22 20:27:50,534 - Connected by ('127.0.0.1', 40356)
2024-05-22 20:27:50,537 - Connected by ('127.0.0.1', 40372)
2024-05-22 20:27:50,539 - Connected by ('127.0.0.1', 40386)
2024-05-22 20:27:50,546 - Connected by ('127.0.0.1', 40400)
2024-05-22 20:27:50,549 - Connected by ('127.0.0.1', 40406)
2024-05-22 20:27:50,552 - Connected by ('127.0.0.1', 40408)
2024-05-22 20:27:50,554 - Connected by ('127.0.0.1', 40414)
2024-05-22 20:27:50,556 - Connected by ('127.0.0.1', 40418)
2024-05-22 20:27:50,559 - Connected by ('127.0.0.1', 40428)
2024-05-22 20:27:50,564 - Connected by ('127.0.0.1', 40438)
2024-05-22 20:27:50,569 - Connected by ('127.0.0.1', 40452)
2024-05-22 20:27:50,572 - Connected by ('127.0.0.1', 40462)
2024-05-22 20:27:50,575 - Connected by ('127.0.0.1', 40466)
2024-05-22 20:27:50,578 - Connected by ('127.0.0.1', 40474)
2024-05-22 20:27:50,581 - Connected by ('127.0.0.1', 40476)
2024-05-22 20:27:50,583 - Connected by ('127.0.0.1', 40484)
2024-05-22 20:27:50,585 - Connected by ('127.0.0.1', 40490)
2024-05-22 20:27:50,588 - Connected by ('127.0.0.1', 40504)
2024-05-22 20:27:50,591 - Connected by ('127.0.0.1', 40512)
2024-05-22 20:27:50,594 - Connected by ('127.0.0.1', 40524)
2024-05-22 20:27:50,601 - Connected by ('127.0.0.1', 40540)
2024-05-22 20:27:50,610 - Connected by ('127.0.0.1', 40556)
2024-05-22 20:27:50,613 - Connected by ('127.0.0.1', 40560)
